StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q3,Q4,Q24,Q31_First Click,Q31_Last Click,Q31_Page Submit,Q31_Click Count,Q32,message_final,SC0,ID,backbutton,sourcefile,gender,age,string,U,V
2020-08-12 03:39:34,2020-08-12 03:48:15,IP Address,100,520,True,2020-08-12 03:48:15,R_3ixlk69WD5sEOPi,anonymous,EN,I certify that I am 18 years of age or older.,"Yes, I agree to take part.",None of the above,2.507,2.507,434.274,1,"I have found that the best way to reconcile online work and family obligations is to treat working online like you would a regular out of home job. If you freelance, set a dedicated work schedule to do work only and nothing else. Once you are finished working put it away and don't go back to it until the next scheduled time that you have set.

It helps to also set a schedule for family time or obligations. I think that prioritizing and being organized by using a schedule is a sucessful way to reconcile work and family obligations. This is the method that has worked best for me. 

When it's work time that is what you do, you work. When it is family time then that is what you do you spend time with family. 

People think that working online is a breeze but it takes a lot of self disipline and organization. I think it works best to have a dedicated room that you work in and when you're done for the day, you shut the door and walk away until the next day. It can be very challenging to work online at home but if done right it can be very rewarding.","I have found that the best way to reconcile online work and family obligations is to treat working online like you would a regular out of home job. If you freelance, set a dedicated work schedule to do work only and nothing else. Once you are finished working put it away and don't go back to it until the next scheduled time that you have set.

It helps to also set a schedule for family time or obligations. I think that prioritizing and being organized by using a schedule is a sucessful way to reconcile work and family obligations. This is the method that has worked best for me. 

When it's work time that is what you do, you work. When it is family time then that is what you do you spend time with family. 

People think that working online is a breeze but it takes a lot of self disipline and organization. I think it works best to have a dedicated room that you work in and when you're done for the day, you shut the door and walk away until the next day. It can be very challenging to work online at home but if done right it can be very rewarding.",0,1,gone,"F-OLD-S_August+12,+2020_12.33.csv",F,OL,NA,NA,NA
2020-08-12 05:35:27,2020-08-12 05:45:09,IP Address,100,582,True,2020-08-12 05:45:09,R_2VIRzxQIgM4TZJM,anonymous,EN,I certify that I am 18 years of age or older.,"Yes, I agree to take part.",None of the above,0.873,459.127,466.315,5,"I would say that there are several things to consider when working from home and taking care of family obligations. The first thing that I do is choose my time to work when the rest of my family is otherwise occupied. I wait to start until I have prepared breakfast and gotten everyone settled into their day. This makes working from home much more doable. 

The second piece of advice that I would share is that the person who works from home must be able to switch tasks without a lot of difficulty. Let's face it, emergencies happen that the person working from home must deal with and being able to switch what you are doing is important.

 Probably the most important factor that makes up a successful online worker is patience and a positive attitude. Things go awry, and its best to not be too hard on yourself when they do. You will have good days and some that are not so good but overall things generally work out. I enjoy my online work even with the interruptions and dealing with family drama. Overall it has been a positive experience for me and one I plan to continue to engage in.","I would say that there are several things to consider when working from home and taking care of family obligations. The first thing that I do is choose my time to work when the rest of my family is otherwise occupied. I wait to start until I have prepared breakfast and gotten everyone settled into their day. This makes working from home much more doable. 

The second piece of advice that I would share is that the person who works from home must be able to switch tasks without a lot of difficulty. Let's face it, emergencies happen that the person working from home must deal with and being able to switch what you are doing is important.

 Probably the most important factor that makes up a successful online worker is patience and a positive attitude. Things go awry, and its best to not be too hard on yourself when they do. You will have good days and some that are not so good but overall things generally work out. I enjoy my online work even with the interruptions and dealing with family drama. Overall it has been a positive experience for me and one I plan to continue to engage in.",0,2,gone,"F-OLD-S_August+12,+2020_12.33.csv",F,OL,NA,NA,NA
2020-08-12 07:08:38,2020-08-12 07:22:49,IP Address,100,851,True,2020-08-12 07:22:50,R_3r1kzeF85qgvkr2,anonymous,EN,I certify that I am 18 years of age or older.,"Yes, I agree to take part.",None of the above,9.822,719.728,762.45,10,I have found that if you sit down with your family and discuss what is needed you will have a better outcome. You should discuss the pro and cons of working online and dealing with family obligations.  For instance make time for breaks to fulfill family things.  Explain a schedule. It will be tough but once it becomes a routine the family will understand.  Make a room your office and explain that it is off limits.Maybe have your office far away from activity that goes on in the house.  Like I said it will take time to get use to it.  Put a sign on your door telling family that you are working.  I rewarded my kids with something special like making cookies or doing art projects. Spending quality time with them is a plus. I also find me time when everyone is content because that gives me the patience for the next day. Also a good night's sleep.  So remember to discuss the pros and cons and make sure you get everyone's input so that you can work a schedule with out arguments or temper tantrums.  I wish you luck on your journey of working at home with a family.,I have found that if you sit down with your family and discuss what is needed you will have a better outcome. You should discuss the pro and cons of working online and dealing with family obligations.  For instance make time for breaks to fulfill family things.  Explain a schedule. It will be tough but once it becomes a routine the family will understand.  Make a room your office and explain that it is off limits.Maybe have your office far away from activity that goes on in the house.  Like I said it will take time to get use to it.  Put a sign on your door telling family that you are working.  I rewarded my kids with something special like making cookies or doing art projects. Spending quality time with them is a plus. I also find me time when everyone is content because that gives me the patience for the next day. Also a good night's sleep.  So remember to discuss the pros and cons and make sure you get everyone's input so that you can work a schedule with out arguments or temper tantrums.  I wish you luck on your journey of working at home with a family.,0,3,gone,"F-OLD-S_August+12,+2020_12.33.csv",F,OL,NA,NA,NA
2020-08-12 07:59:32,2020-08-12 08:07:34,IP Address,100,482,True,2020-08-12 08:07:35,R_1hAxbJFQ2nnfikR,anonymous,EN,I certify that I am 18 years of age or older.,"Yes, I agree to take part.",None of the above,1.568,406.79,425.983,8,"I believe that you must have organization. You need to have everyone on the same page.  when you are working you need  your family to support that this would be just like you went to an office. This is office time and  you should not be bothered. But you could have a regular meetup with your family at lunch time. You should also follow if work ends at 5 pm that you walk away from  your work and close that door till the next day. Unless of course you have some sort of pressing emergency at work. Your family as well needs to have a schedule that they follow. Like who is walking the dog, washing the dishes etc. Just because you are working from home don't be tempted to do these things if they were already family chores before. Because than you disrupt their schedule things to do. Working onliine at home it is also very easy to go about doing other things. That is why you need to put down I will work from 8-5 to make money. Online work is no different than going to a job, this is how you make your money. this has worked for me so that i concentrate on this task","I believe that you must have organization. You need to have everyone on the same page.  when you are working you need  your family to support that this would be just like you went to an office. This is office time and  you should not be bothered. But you could have a regular meetup with your family at lunch time. You should also follow if work ends at 5 pm that you walk away from  your work and close that door till the next day. Unless of course you have some sort of pressing emergency at work. Your family as well needs to have a schedule that they follow. Like who is walking the dog, washing the dishes etc. Just because you are working from home don't be tempted to do these things if they were already family chores before. Because than you disrupt their schedule things to do. Working onliine at home it is also very easy to go about doing other things. That is why you need to put down I will work from 8-5 to make money. Online work is no different than going to a job, this is how you make your money. this has worked for me so that i concentrate on this task",0,4,gone,"F-OLD-S_August+12,+2020_12.33.csv",F,OL,NA,NA,NA
2020-08-12 05:37:41,2020-08-12 05:45:30,IP Address,100,469,True,2020-08-12 05:45:30,R_2YgHRhe6nYEu3TG,anonymous,EN,I certify that I am 18 years of age or older.,"Yes, I agree to take part.",None of the above,4.704,380.049,400.963,13,"Conducting work online is a great option for a person with family obligations. In many cases you are not tied to a set schedule as you would be with doing work in person, and that allows you more flexibility to accommodate family obligations. In my experiences doing online work, I would schedule my work hours to coordinate with my child's nap or independent play time when possible. And if there were any tasks that I didn't need zero distractions for (such as writing emails) I would be able to complete those while still interacting with my family. Online work has been very beneficial as far as allowing me to be with my family as I'm needed as opposed to being in an office all day. I feel like opportunity to do online work has provided me with more time to spend with my family and take care of the obligations that I have at home. The most important thing is to try to plan out your day in a way that works best for you so that you can complete your work tasks without compromising any obligations you have with your family. I think that online work can be very rewarding for those with family obligations to consider.","Conducting work online is a great option for a person with family obligations. In many cases you are not tied to a set schedule as you would be with doing work in person, and that allows you more flexibility to accommodate family obligations. In my experiences doing online work, I would schedule my work hours to coordinate with my child's nap or independent play time when possible. And if there were any tasks that I didn't need zero distractions for (such as writing emails) I would be able to complete those while still interacting with my family. Online work has been very beneficial as far as allowing me to be with my family as I'm needed as opposed to being in an office all day. I feel like opportunity to do online work has provided me with more time to spend with my family and take care of the obligations that I have at home. The most important thing is to try to plan out your day in a way that works best for you so that you can complete your work tasks without compromising any obligations you have with your family. I think that online work can be very rewarding for those with family obligations to consider.",0,1,gone,"F-YOUNG-S_August+12,+2020_12.32.csv",F,YO,NA,NA,NA
2020-08-12 06:36:06,2020-08-12 06:42:04,IP Address,100,357,True,2020-08-12 06:42:05,R_Ww9AnXmS1bY3xL3,anonymous,EN,I certify that I am 18 years of age or older.,"Yes, I agree to take part.",None of the above,0.498,215.891,318.233,6,"Hi there! I know that navigating working online, or working from home, alongside other familial obligations can be quite challenging. I believe that with the right protocols and boundaries in place, you can create a comfortable and productive work environment that will ease the challenges of working from home. First, create a set routine and schedule and stick with it. Make sure that all of your family members are aware of the routine you have in place. However, your schedule won't work if you choose to not abide by it. Consistency is key for any major change to happen. You could start by staggering each week with one additional, small change in your schedule. So in week one, you might have hour long blocks set up for you to work, and by week two, you will implement hour and a half long blocks. Additionally, making sure your family has their own schedules in place will be of great help. I find it  helpful to create a consistent morning routine that involves non-work activities. You could spend 5 minutes journaling, 20 minutes stretching or exercising, and 30 minutes eating breakfast with your family. Making sure to have family activities embedded in each day's schedule will also help create structure and boundaries for when it's time to work online. Lastly, don't be hard on yourself if you make mistakes, or lose productivity when shifting to work online. Nobody's perfect, and this transitional period of working from home is challenging for everyone!","Hi there! I know that navigating working online, or working from home, alongside other familial obligations can be quite challenging. I believe that with the right protocols and boundaries in place, you can create a comfortable and productive work environment that will ease the challenges of working from home. First, create a set routine and schedule and stick with it. Make sure that all of your family members are aware of the routine you have in place. However, your schedule won't work if you choose to not abide by it. Consistency is key for any major change to happen. You could start by staggering each week with one additional, small change in your schedule. So in week one, you might have hour long blocks set up for you to work, and by week two, you will implement hour and a half long blocks. Additionally, making sure your family has their own schedules in place will be of great help. I find it  helpful to create a consistent morning routine that involves non-work activities. You could spend 5 minutes journaling, 20 minutes stretching or exercising, and 30 minutes eating breakfast with your family. Making sure to have family activities embedded in each day's schedule will also help create structure and boundaries for when it's time to work online. Lastly, don't be hard on yourself if you make mistakes, or lose productivity when shifting to work online. Nobody's perfect, and this transitional period of working from home is challenging for everyone!",0,2,gone,"F-YOUNG-S_August+12,+2020_12.32.csv",F,YO,NA,NA,NA
2020-08-12 06:49:16,2020-08-12 06:56:21,IP Address,100,425,True,2020-08-12 06:56:21,R_xDzEgNItSCtwuNb,anonymous,EN,I certify that I am 18 years of age or older.,"Yes, I agree to take part.",None of the above,0.661,291.697,321.73,8,"It is hard to reconcile online work with family obligations. We have gone through a dramatic shift between our traditional roles to one that is completely online. From traveling and having a commute, to existing in a space where the lines between family obligations and work are blurred.

My best advice, based on my own experiences, is to make the line between work and home crystal clear. As much as possible, do not set up meetings or check email past the workday. Completely disconnect. That way, you can focus on your family obligations in the morning or the evening. It is also critical to have a part of your house dedicated for ""work"" for the same reasons. 

I would also advocate for creating a daily schedule with your spouse, if you have one, if children are involved. Perhaps your spouse can tell his/her work that they are available at certain hours for face to face meetings, while you are available at a different time so someone can watch the children if needed. I would also take advantage of keeping your video off and mic off when it is possible and perhaps use a bluetooth headset so you can walk around the house to go check something out when on a call.

Good luck and remember - you will come out of this stronger, much more connected with your family, and appreciative of how life used to be!","It is hard to reconcile online work with family obligations. We have gone through a dramatic shift between our traditional roles to one that is completely online. From traveling and having a commute, to existing in a space where the lines between family obligations and work are blurred.

My best advice, based on my own experiences, is to make the line between work and home crystal clear. As much as possible, do not set up meetings or check email past the workday. Completely disconnect. That way, you can focus on your family obligations in the morning or the evening. It is also critical to have a part of your house dedicated for ""work"" for the same reasons. 

I would also advocate for creating a daily schedule with your spouse, if you have one, if children are involved. Perhaps your spouse can tell his/her work that they are available at certain hours for face to face meetings, while you are available at a different time so someone can watch the children if needed. I would also take advantage of keeping your video off and mic off when it is possible and perhaps use a bluetooth headset so you can walk around the house to go check something out when on a call.

Good luck and remember - you will come out of this stronger, much more connected with your family, and appreciative of how life used to be!",0,3,gone,"F-YOUNG-S_August+12,+2020_12.32.csv",F,YO,NA,NA,NA
2020-08-12 07:44:31,2020-08-12 07:50:50,IP Address,100,379,True,2020-08-12 07:50:50,R_ef9GQkoLIw8nAaJ,anonymous,EN,I certify that I am 18 years of age or older.,"Yes, I agree to take part.",None of the above,0.613,267.108,304.045,6,"I would say that the most important thing is setting a schedule for yourself and keeping your loved ones informed of the schedule. For you and your loved ones to cope with you working online or at home, it will help them to know when you have free time or time to do other things. They can look forward to it and make plans and know how to keep their relationship with you strong. Something like a printed schedule sheet or a calendar.

Secondly, I would also say it is important to ensure you have a quiet space to yourself to work when you need it. Make sure your family understands it is not because you want to be away from them, but just so you can get your work done and then return to them.

Thirdly, try to be open and honest about your work. Keep the ones you care about involved. The more you do this, the less of a barrier there will be. Sometimes it is hard for people to understand why you are sitting at a computer or laptop the majority of your day, but if you describe what you are doing throughout your usual work days, this will help lessen the gap between you and them quite a lot.","I would say that the most important thing is setting a schedule for yourself and keeping your loved ones informed of the schedule. For you and your loved ones to cope with you working online or at home, it will help them to know when you have free time or time to do other things. They can look forward to it and make plans and know how to keep their relationship with you strong. Something like a printed schedule sheet or a calendar.

Secondly, I would also say it is important to ensure you have a quiet space to yourself to work when you need it. Make sure your family understands it is not because you want to be away from them, but just so you can get your work done and then return to them.

Thirdly, try to be open and honest about your work. Keep the ones you care about involved. The more you do this, the less of a barrier there will be. Sometimes it is hard for people to understand why you are sitting at a computer or laptop the majority of your day, but if you describe what you are doing throughout your usual work days, this will help lessen the gap between you and them quite a lot.",0,4,gone,"F-YOUNG-S_August+12,+2020_12.32.csv",F,YO,NA,NA,NA
2020-08-12 03:43:43,2020-08-12 04:18:54,IP Address,100,2110,True,2020-08-12 04:18:54,R_3sgEDrfcNj4c8B6,anonymous,EN,I certify that I am 18 years of age or older.,"Yes, I agree to take part.",None of the above,1.741,2008.685,2011.105,115,"I'm semi-retired, 70, and by myself in my living situation at present, but this is only a recent condition, and I have long experience juggling my work and significant other social responsibilities. Because of its nature, online work demands a degree of quiet and isolation. This is perhaps the most difficult aspect of it, but it needs enforcement if the work is to be successful (and frustration kept to a minimum). So how does one manage the two most important areas of ones life? Best practice, IMO, is to apply a firm schedule or structure to the balance between work and social responsibilities; a conscious application of time away from the work devoted to household relationships and other matters; deviation from this schedule *only* when the work or the relationship life of the home demand it (this last has to be a judgment call on the part of the worker). Since the time spent at work online (especially on Mechanical Turk) is flexible to some extent, time-outs in which social responsibilities and self-care can be attended to should be built into the day as a rule. This would be the case with a standard career offsite, the only difference being that the worker creates it himself--thus the schedule can be more flexible--rather than accepting an employer's structure. This schedule should be shared with everyone in the family who might have an interest in it, and everyone should give input to feel invested in the project. Positive family support of the online worker is crucial to success.","I'm semi-retired, 70, and by myself in my living situation at present, but this is only a recent condition, and I have long experience juggling my work and significant other social responsibilities. Because of its nature, online work demands a degree of quiet and isolation. This is perhaps the most difficult aspect of it, but it needs enforcement if the work is to be successful (and frustration kept to a minimum). So how does one manage the two most important areas of ones life? Best practice, IMO, is to apply a firm schedule or structure to the balance between work and social responsibilities; a conscious application of time away from the work devoted to household relationships and other matters; deviation from this schedule *only* when the work or the relationship life of the home demand it (this last has to be a judgment call on the part of the worker). Since the time spent at work online (especially on Mechanical Turk) is flexible to some extent, time-outs in which social responsibilities and self-care can be attended to should be built into the day as a rule. This would be the case with a standard career offsite, the only difference being that the worker creates it himself--thus the schedule can be more flexible--rather than accepting an employer's structure. This schedule should be shared with everyone in the family who might have an interest in it, and everyone should give input to feel invested in the project. Positive family support of the online worker is crucial to success.",0,1,gone,"M-OLD-S_August+12,+2020_12.32.csv",M,OL,NA,NA,NA
2020-08-12 04:32:20,2020-08-12 04:42:10,IP Address,100,590,True,2020-08-12 04:42:11,R_3fs2wvfGukZIBXa,anonymous,EN,I certify that I am 18 years of age or older.,"Yes, I agree to take part.",None of the above,19.123,19.123,470.548,1,"Reconciling online work with your family obligations can be fairly easy, as long as you set and follow some guidelines.  I have been working from home for 22 years and I love it.  First off, work should be treated just as if you were going into the office and you need to establish a set start and stop time and adhere to it.  You need to ensure that you are not interrupted during those times, except for emergency.  You need to have a separate room/office to work, not on the dining room table or living room sofa.  You need to be able to close your door during sensitive discussions that your family should not hear.  If you talk on a phone for business, you need to have a separate line that the kids or family can't pop on, listen in, or tie up.  It needs to be dedicated for work.  You should take your normal breaks and lunch time.  Spend lunch with the family if they are at home.  After getting used to the routine, you may find that you are able to manage some other things during working hours, such as starting a load of laundry before work, and then on morning break, move it to the dryer, and at lunch time, remove it and put it away.  You need to get up and stretch - you're not in a prison.  Occasionally, it is nice to take your equipment outside in nice weather and work from there if possible, but be sure to avoid distractions.  You are working, and that should be your primary focus during working hours.  Remember, at quitting time for the day, log off, get up and leave your office.  Don't say you'll just finish a few more things - think of it as leaving the office to pick up the kids or something like that - it is a hard stop that you must adhere to.  These tips should give you a great experience.","Reconciling online work with your family obligations can be fairly easy, as long as you set and follow some guidelines.  I have been working from home for 22 years and I love it.  First off, work should be treated just as if you were going into the office and you need to establish a set start and stop time and adhere to it.  You need to ensure that you are not interrupted during those times, except for emergency.  You need to have a separate room/office to work, not on the dining room table or living room sofa.  You need to be able to close your door during sensitive discussions that your family should not hear.  If you talk on a phone for business, you need to have a separate line that the kids or family can't pop on, listen in, or tie up.  It needs to be dedicated for work.  You should take your normal breaks and lunch time.  Spend lunch with the family if they are at home.  After getting used to the routine, you may find that you are able to manage some other things during working hours, such as starting a load of laundry before work, and then on morning break, move it to the dryer, and at lunch time, remove it and put it away.  You need to get up and stretch - you're not in a prison.  Occasionally, it is nice to take your equipment outside in nice weather and work from there if possible, but be sure to avoid distractions.  You are working, and that should be your primary focus during working hours.  Remember, at quitting time for the day, log off, get up and leave your office.  Don't say you'll just finish a few more things - think of it as leaving the office to pick up the kids or something like that - it is a hard stop that you must adhere to.  These tips should give you a great experience.",0,2,gone,"M-OLD-S_August+12,+2020_12.32.csv",M,OL,NA,NA,NA
